text,label
សេចក្តីព្រាង អនុក្រឹត្យ បង្កើតឡើង គោលបំណង គ្រប់គ្រង ការចុះបញ្ជី ការអនុញ្ញាតផលិត ការកែច្នៃ ការកំណត់ តំបន់ ហាមឃាត់ ការប្រើប្រាស់ អាកាសយាន មនុស្ស បើក ដ្រូន ប្រភេទ ធានា សន្តិសុខ សណ្តាប់ សាធារណៈ ប្រទេស កម្ពុជា,positive
លក្ខខណ្ឌ ការងារ ការរស់នៅ កម្មករ ឧស្សាហកម្ម កាត់ដេរ វាយនភ័ណ្ឌ បាន លេចឡើង ទំព័រ សារព័ត ជា យូរ មកហើយ ចាប់ពី ឆ្នាំ ២០១៣ បាន ទាក់ទាញ ការចាប់អារម្មណ៍ ជា អន្តរជាតិ,positive
ប្រសិនបើ មានអារម្មណ៍ ឯង តែងតែ រំខាន ក្លិន មាត់ មិន បាន ដុស ធ្មេញ ប្រើ ថ្នាំ ខ្ពុរ មាត់ ជា សញ្ញា បង្ហាញ ជំងឺ រលាក អញ្ចាញ ធ្មេញ,neutral
ប្រធានាធិបតី តៃវ៉ាន់ លោកស្រី សៃ អ៊ីង វេន tsai ing-wen បាន និយាយ កាលពី ថ្ងៃពុធ ៥ ខែតុលា តៃវ៉ាន់ មិន ពឹង ប្រទេស ដទៃ ការការពារ,positive
helleputte ថា៖ ការខិតខំ ប្រឹងប្រែង ជាមួយ ផ្នែក រៀង ៗ ការចូលរួម isea danoners ធ្វើឱ្យ ទទួលបាន រង្វាន់,positive
គួរអោយ ស្តាយ ខ្លាំង រៀន វិទ្យាល័យ ប្រាប់ ខ្ញុំ រឿង ទេ ខ្ញុំ ចាប់ផ្តើម យឺត ទើប ខ្ញុំ ចែករំលែក រឿង ៣យ៉ាង មិន ចង់អោយ បងប្អូន ចាប់ផ្តើម យឺត ដូច ខ្ញុំ ទេ,negative
យោង ក្រសួង ទេសចរណ៍ ស្ទើរតែ ខេត្ត បាន រៀបចំ តំបន់ ក សិទេសចរណ៍ សហគមន៍ អេកូ ទេសចរណ៍ រមណីយដ្ឋាន ទេសចរណ៍ ច្នៃប្រឌិត ៗ ជាច្រើន ការវិលត្រ ទ្បប់ ភ្ញៀវ ទេសចរ ជាតិ អន្ត ជាតិ វិបត្តិ កូវីដ ១៩,positive
អំ សំអាត អ្នកស្រី ចក់ សុភាព អយ្យការ ចោទសួរ ប្រភព មូលនិធិ ផ្តល់ ជូន មជ្ឈមណ្ឌល សិទ្ធិ មនុស្ស កម្ពុជា អំឡុង អ្នកស្រី ការងារ ជាមួយ កឹម សុខា,neutral
នាយក រដ្ឋមន្ត្រី កម្ពុជា ផ្តល់ ការលើកទឹកចិត្ត គន្លឹះ រួមចំណែក ការលើកកម្ពស់ វិស័យ កីឡា តំបន់ អាស៊ី,positive
បាន ន័យ មុនពេល បោះឆ្នោត ក្រោយពេល បោះឆ្នោត បោះឆ្នោត នាម ជា ភ្នាក់ងារ សង្កេតការណ៍ ធ្លាប់ ធ្វើជា ភ្នាក់ងារ សង្កេតការណ៍ កន្លងមក ប៉ុណ្ណឹង ហ្នឹង ការតស៊ូ បែប ហិង្សា លើកឡើង សិទ្ធិ ពលរដ្ឋ ច្បាប់ ចែង សម្តែង មតិ បាន ប៉ុណ្ណឹង ទេបាទ,neutral
ទំនាក់ទំនង ប្រកបដោយ ប្រសិទ្ធភាព ទិន្នន័យ ត្រួតពិនិត្យ គុណភាព ខ្ពស់ ទម្រង់ ចូលទៅ បាន ភាគី ពាក់ព័ន្ធ ជាច្រើន សារៈសំខាន់,positive
ប៉ុន្តែ ផ្ទុយទៅវិញ អាជ្ញាធរ សមត្ថកិច្ច មូលដ្ឋាន បាន កិច្ចសន្យា ឈប់ លុះ សមត្ថកិច្ច បើក លេង ដើម សកម្មភាព ហាក់បីដូចជា ម្ចាស់ ទីតាំង សមត្ថកិច្ច លេង បិទ ពួន បន្លំ ភ្នែក មហាជន,negative
គិត ឆ្នាំ ២០១៤ ប្រជាជន កម្ពុជា ការងារ ស្រប ច្បាប់ មិន ស្រប ច្បាប់ ក្រៅ ប្រទេស បាន រីក ធំធាត់ ជាង ៦០០០០០ នាក់,neutral
ភ្នំពេញ ការប្រកាស បើក ប្រទេស ជន បរទេស ឡើងវិញ ចាប់ពី ខែវិច្ឆិកា ឆ្នាំ ២០២១ ព្រមទាំង ភាពល្អ ប្រសើរ ស្ថានភាព ឆ្លង រាលដាល ជំងឺ កូវីដ ១៩ ពិភពលោក បាន ជំរុញ ទីផ្សារ តម្លៃ អាផាតមិន ជួល រាជធានី ភ្នំពេញ ផ្តើម កម្រើក ឡើងវិញ បណ្តើរ ៗ,positive
សាលារៀន ខ្ញុំ ចាស់ ទ្រុឌទ្រោម,negative
ទ្រង់ ត្រាស់បង្គាប់ ឲ្យ ក្រុម មហោស្រព ផ្លាស់ប្តូរ លេង ឲ្យ អ្នកស្រុក មើល ជា ទីថ្កើង ថ្កាន ទ្រង់ ត្រាស់ ឲ្យ សាង ប្រាសាទ សួរព្រ័ត្រ យោល ទោង បិទ ពួន ទ្វារ នគរ ទត ល្បែង,positive
ឆ្នាំ ២០២២ រោងចក្រ ប្រព្រឹត្តិកម្ម ទឹក ស្អាត ជាយក្រុង ភ្នំពេញ បញ្ចប់ ផលិត ទឹក ស្អាត បាន ១៩៥០០០ ម៉ែត្រ គូប ថ្ងៃ,positive
រឿង គ្រួសារ ស្នេហា យល់ ចិត្ត ជាធម្មតា,positive
ជា ប្រពន្ធ ចៅសួ នឹក ខឹង អា អមនុស្ស កម្សត់ ទុគ៌ត ហ៊ាន បង្កាច់ កេរ្តិ៍ ប្តី អញ ជាបង បង្កើត ប្រើ អមនុស្ស ឲ្យ ចាប់ បុរស ដាក់ ច្រវាក់ រោង សេះ ចាំ ប្តី ឲ្យ សម្លាប់,negative
បាន រៀបរាប់ បាន ទាក់ទង ទូរសព្ទ ផ្ទាល់ ជាមួយ រដ្ឋមន្ត្រី ការពារ ជាតិ ចិន wei fenghe បាន ទំនាក់ទំនង បើក ចំហ សារសំខាន់,positive
ប្រទេស កម្ពុជា ទទួលបាន ជំនួយ វ៉ាក់សាំង ប្រទេស អូស្ត្រាលី កន្លងមក ប្រទេស អូស្ត្រាលី បាន ផ្តល់ វ៉ាក់សាំង កូវីដ១៩ pfizer-biontech ២៣៥ លាន ដូស ទូបង្កក ត្រជាក់ ១៣៣ គ្រឿង បរិក្ខារ ចាំបាច់ ផ្សេង ៗ ផងដែរ,positive
រដ្ឋាភិបាល កម្ពុជា បាន ប្រកាស កាស៊ីណូ ប្រទេស អនុញ្ញាតឱ្យ ដំណើរការ ឡើងវិញ ប៉ុន្តែ ជាមួយ ល្បែង ភ្នាល ម៉ាស៊ីន លេង ល្បែង ប៉ុណ្ណោះ,neutral
ខេត្ត ប៉ៃលិន៖ ប្រជាពលរដ្ឋ ៥៨ គ្រួសារ ស្រុក សាលា ក្រៅ បាន រងគ្រោះ ទឹកំនន់ លិច លង់ ផ្ទះសម្បែង ពេលនេះ អាជ្ញាធរ ខេត្ត ជម្លៀស ទៅកាន់ ទួល សុវត្ថិភាព កាលពី ល្ងាច ថ្ងៃទី ៣ ខែតុលា ឆ្នាំ ២០២២ ទទួលបាន ការឧបត្ថម្ភ ស្បៀង គ្រឿង ឧបភោគ បរិភោគ រាជ រដ្ឋាភិបាល កម្ពុជា,positive
សមាជ បក្ស កុម្មុយនីស្ត ចិន ទី២០ គ្រោង ប្រព្រឹត្តទៅ ថ្ងៃទី ១៦ ខែ តុលា ២០២២ ព្រឹត្តិការណ៍ ដ៏ គណបក្ស ការកំណត់ ទិសដៅ បន្ត គណបក្ស ពាក់ព័ន្ធ អភិបាលកិច្ច បក្ស អភិបាលកិច្ច ប្រទេសជាតិ គឺជាប្រសាសន៍ លោកជំទាវ ទួត បញ្ញា រដ្ឋលេខាធិការ ក្រសួង ការបរទេស សហប្រតិបត្តិការ អន្តរជាតិ ប្រទេស កម្ពុជា ផ្តល់ កិច្ចសម្ភាសន៍ ជូន វិទ្យុ មិត្តភាព កម្ពុជា - ចិន,positive
ពួកយើង ចំណាយ ២០ នាទី កន្លែង អង្គុយ រង់ចាំ យន្តហោះ អ៊ំ ស្រី អាវ ក្រហម បន្ត រអ៊ូដ ហ្អើយ ថ្មើរ មិន មកដល់ សង្ស័យ យន្តហោះ ចោល,positive
ប្អូន ទៅត អា អត់ ប្រយោជន៍ តោង ល្បី ប្អូន ស្រី ទេ ម្ងៃ ៗ ស្អី ទេ,negative
សូម ជូនពរ ប្អូន សុខភាព រឹងមាំ ទទួលបាន ជោគជ័យ សម្រេច បំណង ប៉ង ប្រាថ្នា,positive
អ្នកនាង បន្ត ការងារ កាស៊ីណូ បាន ប្រាក់ខែ សមរម្យ ៤៥០ ដុល្លារ ខែ ប៉ុន្តែ អ្នកគ្រប់គ្រង បាន ជេរ ប្រមាថ រកស៊ី ឯង,negative
ទន្ទឹម ឯកឧត្តម បណ្ឌិត រដ្ឋមន្រ្តី បាន បន្ត ថា៖ ក្រសួង ការងារ បណ្តុះបណ្តាល វិជ្ជាជីវៈ បសស ផ្ទាល់ បាន មតិ យោបល់ ការឆ្លើយតប ជាច្រើន តាមរយៈ យុទ្ធនាការ រយៈពេល ៩០ ថ្ងៃ កន្លងមក បាន ឆ្លុះបញ្ចាំង ការយល់ឃើញ ពីសំណាក់ ភាគី និយោជក ម្ចាស់ សហគ្រាស គ្រឹះស្ថាន បងប្អូន កម្មករ និយោជិត បាន បង្ហាញ ការសាទរ ពេញចិត្ត ព្រមទាំង សប្បាយរីករាយ ការស័្ម គ្រចិត្ត ចូលរួម កាតព្វកិច្ច ត្រៀមខ្លួន ការចូលរួម បង់ ភាគ ទាន ទទួលបាន អត្ថប្រយោជន៍ ឈានចូល វ័យ ជរា ការលែង កើត,positive
ខ្ញុំ ទទួលខុសត្រូវ ការសម្រេចចិត្ត រឿង អនាគត ខ្ញុំ,positive
បក្ស ក្រៅ រដ្ឋាភិបាល ឃើញ កឹម សុខា សេរីភាព នយោបាយ ចូលរួម ការបោះឆ្នោត ២០២៣,positive
វាល ភក់ ជា វាល ធំ ធេង ប្រកបដោយ កូន កោះ ៗ សម្បូរ ខ្សាច់ រុក្ខជាតិ ក្រិន ៗ [១ ],positive
ទិដ្ឋភាព បែប បាន ធ្វើឱ្យ អ្នកធ្វើដំណើរ លង់ ស្មារតី ទេសភាព បៃតង ទេសភាព វប្បធម៌ ដ៏ អស្ចារ្យ ៕,positive
ឈុន សុខ មេភូមិ ៤ ឃុំ ត្រែង ត្រយឹង ស្រុក ភ្នំ ស្រួច ខេត្ត កំពង់ស្ពឺ បាន អះអាង ថ្ងៃ ប្រជាពលរដ្ឋ ភូមិ ជាង ១០០ គ្រួសារ ជួប បញ្ហា រឿង ច្រក ចូល ផ្ទះ ស្រែ ចម្ការ,negative
តំបន់ រមណីយដ្ឋាន អង្គរ បាន ចុះបញ្ជី បេតិកភណ្ឌ ពិភពលោក ផ្ទៃដី ៤០១ គីឡូម៉ែត្រ ក្រឡា ជា ផ្ទៃដី ការពារ ដាច់ខាត ចែកចេញ ជា តំបន់ ធំ ៗ ៕,positive
ប៊ុន សុធា ខកខាន ប្រកួត សង្វៀន ស្រុក ថៃ ជំនួស ធន់ អៀង ឡេង,negative
ក្រៅពី ការអន់ចិត្ត ខឹង ព្រមទាំង រឿងរ៉ាវ ចិត្ត កើតឡើង រហូត ដំណើរកម្សាន្ត ពិត ប៉ុន្តែ រឿង ៗ បាន ចងចាំ ច្រើន រាប់ មិន ទេ,positive
តម្រូវការ ធានារ៉ាប់រង អាយុជីវិត កើនឡើង ជំរុញ កំណើន ការយល់ដឹង សាធារណជន ផងដែរ,positive
ការប្រមូលផ្តុំ សមាជិក សភា ៦០ នាក់ ទ្វីប អឺរ៉ុប អាស៊ី អាហ្រ វិក ទីក្រុង វ៉ាស៊ីនតោន សកម្មភាព កិច្ច ខិតខំ ប្រឹងប្រែង ទីក្រុង តៃ ប៉ិ ការបញ្ចុះបញ្ចូល ប្រទេស ប្រជាធិបតេយ្យ រួមគ្នា ប្រឆាំង ប្រទេស ចិន ចាប់តាំងពី ការឈ្លានពាន រុស្ស៊ី អ៊ុយក្រែន បាន បង្កើន ការព្រួយបារម្ភ ទីក្រុង ប៉េកាំង ព្យាយាម ដណ្តើមយក កោះ តៃវ៉ាន់ ប្រើប្រាស់ កម្លាំង យោធា,negative
ខ្ញុំ និយាយ ខ្ញុំ មិន សូវ ចូលចិត្ត អាន ប្រលោមលោក ទេ សៀវភៅ ភាគ បាន បំបែរ ចិត្ត ខ្ញុំ កាន់តែ ចូលចិត្ត ប្រលោមលោក ជាង មុន,positive
បង សុភាទ ន្សាយ អាណិត ដោះ ទុក្ខ បងប្អូន ខ្ញុំ ឲ្យបាន រួច ភ័យ ម្តង បាន ល្បី កេរ្តិ៍ឈ្មោះ ត តប គុណ បង សុភា ទន្សាយ ឯង មិន ភ្លេច គុណ ដរាប ជីវិត,positive
ប្រៀប ដូច កំហុស បាន បង្កើត ត្រូវតែ រក វិធី ដោះស្រាយ កុំ ឱ ផ្លូវ ទាល់ ឫ បាត់បង់ ទើប ស្តាយក្រោយ រឿង,positive
ការផ្តល់ លទ្ធភាព ទទួលបាន ទឹក ស្អាត អនាម័យ បញ្ហា សកល,negative
ស្ទឹង សែន ហូរ ចុះ ជួរ ភ្នំ ដងរែក ទឹក ច្រើន ដោយសារ អូរ ជាច្រើន ហូរ កាត់,positive
ថ្វីត្បិតតែ តំបន់ មនុស្ស រស់ តិច រដ្ឋបាល បាន ព្រមាន លទ្ធភាព រលក យក្ស ស៊ូណាមិ,negative
សូម គូសបញ្ជាក់ physiolac យីហោ អាហារូបត្ថម្ភ ទារក laboratoires gilbert ជា មន្ទីរពិសោធន៍ ឱសថ ប្រទេស បារាំង ជា អាជីវកម្ម គ្រួសារ ជនជាតិ ន័រ ប្តេជ្ញាចិត្ត មោះមុត គុណភាព ផលិតផល,positive
ការធានា ស្រដៀង បាន ត្រៀម ទុកចិត្ត ព្រះយេស៊ូ,positive
លោកស្រី ហឺ យីម កាដត អនុប្រធាន គណៈកម្មាធិការ ប្រជាជន ខេត្ត ដាក់ ឡាក់ ជា ប្រធាន គណៈកម្មការ ជំនាញ ខេត្ត ដាក់ ឡាក់ បាន ថ្លែង ការកោតសរសើរ ការរីកចម្រើន ការអភិវឌ្ឍ ឆាប់រហ័ស ខេត្ត មណ្ឌលគិរី ព្រមទាំង បាន ថ្លែងអំណរគុណ ជ្រាលជ្រៅ ថ្នាក់ដឹកនាំ ខេត្ត អាជ្ញាធរ មូលដ្ឋាន សមត្ថកិច្ច ពាក់ព័ន្ធ តែងតែ ផ្តល់ កិច្ចសហការ ការគាំទ្រ ប្រសើរ បាន សម្របសម្រួល គណៈកម្មការ ជំនាញ ខេត្ត ដាក់ ឡាក់ ការរុករក ជីក គាស់ មាតុភូមិ និវត្តន៍ អដ្ឋិធាតុ កងទ័ព ស្ម័គ្រចិត្ត ជំនាញ ការវៀតណាម បាន ពលី សម័យ សង្គ រាម ទឹកដី ខេត្ត មណ្ឌលគិរី ៕,positive
គ្រូ ខំ ប្រឹង សមត្ថភាព នាំមក អារម្មណ៍ រំភើប ការបង្រៀន,positive
ភ្នំពេញ៖ សម្តេច តេជោ ហ៊ុន សែន នាយក រដ្ឋមន្ត្រី កម្ពុជា បាន បញ្ជូន សារ ប្រជាពលរដ្ឋ ឃុំ ព្រះដាក់ ខេត្ត សៀមរាប សូម ភាពស្ងប់ស្ងាត់ ខណៈ តំបន់ មិន ស្ថិត គម្រោង ការរុះរើ លំនៅឋាន ទេ,positive
ការជាក់ស្តែង ការប្រកួតប្រជែង ការបោះឆ្នោត ជាមួយ សម្តេច តេជោ ហ៊ុន សែន ជីវិត នយោបាយ អាយុ ៧២ ឆ្នាំ ប៉ុន្តែ សម រង្ស៊ី បាន បរាជ័យ បរាជ័យ រហូត បក្ស ឈរ ជើង រលាយ រលត់ រត់ ចោល ស្រុក ខ្មែរ ថែម,negative
នា រដូវកាល កី ទ្បាក រ donny van de beek បាន បង្ហាញ ៤ ប្រកួត ប៉ុណ្ណោះ នាម ជា កី ទ្បាក រ ជម្រើស ២ ធ្វើឱ្យ រូប សម្តែង មិន ពេញចិត្ត ខ្លាំង ទង្វើ ក្លឹប,negative
អត់ អាណិត សិស្ស អត់ គ្រឹះ,negative
រាជធានី ភ្នំពេញ ៖ គោលដៅ គោលដៅ ជាច្រើន ការធ្វើជា ឪពុក ម្តាយ មើល កូន សម្រេចបាន រឿង ដ៏ អស្ចារ្យ ជាច្រើន,positive
ទឹកឃ្មុំ៖ យោង ការស្រាវជ្រាវ ទឹកឃ្មុំ ដើរ តួនាទី យូរអង្វែង ឱសថ បុរាណ បំបាត់ ក្អក,positive
មាណ ព កូន រត់ រស់ ព្រៃ ដាច់ ឯង មិន ហ៊ាន សង់ ផ្ទះ ជ្រកកោន,negative
ប្រជាពលរដ្ឋ ព្រួយបារម្ភ សុវត្ថិភាព សមាជិក គ្រួសារ ជីវភាព រស់ ប្រចាំ ថ្ងៃ ពួកគាត់ បើសិន ជំងឺ អុត ស្វា រីករាលដាល កម្ពុជា,negative
សម័យ ពិភាក្សា រដ្ឋមន្ត្រី bui thanh son បាន សង្កត់ធ្ងន់ អាស៊ាន ឥណ្ឌា ដៃគូ ដ៏ យូរអង្វែង ជា អ្នកជិតខាង ជិតស្និទ្ធ ជឿ ទុកចិត្ត,positive
ឆាក ជីវិត មនុស្ស រូប តែង ប្រាថ្នា មិន ជួប មិន ឃើញ រឿង មិន រឿង អាក្រក់ កើតឡើង ឯង ក្រុមគ្រួសារ មនុស្ស ជា ទីស្រឡាញ់,positive
អាន សៀវភៅ អភិវឌ្ឍ ផ្ទះ មិន អង្គុយ មើល តិក តុក មើល ហ្វេសបុក,negative
ទម្លាប់ ញ៉ាំ ម្ហូប អាស៊ី ទាក់ទង ការបង្កើត ឲ្យ តុល្យភាព អាហារ បាន ស្រដៀង យីន,positive
ឆ្នាំ ប្រជាពលរដ្ឋ ខ្មែរ ប្រទេស ប្រជាពលរដ្ឋ ខ្មែរ នៅឯ សមុទ្រ ព្រមទាំង ជនជាតិ បរទេស ជាពិសេស ជនជាតិ អាមេរិកាំង ផងដែរ បាន ផ្សព្វផ្សាយ វប្បធម៌ សកល ជា ភាសា ខ្មែរ បណ្តាញ ផ្សព្វផ្សាយ ទំនើប វ៉ែបសាយ ភាសា ខ្មែរ ប្លក ភាសា ខ្មែរ អត្ថបទ ភាសា ខ្មែរ ភាពយន្ត ចំរៀង ផងដែរ ហិបហប ខ្មែរ ជា ហូរហែ វិធី អប់រំ ប្រភេទ ៖,positive
អាន កូន អ្នកស្តាប់ បង្កើត ជំនាញ ភាសា,positive
មេឃុំ រការ អ្នកស្រី ស៊ឹម ពៅ ឱ្យដឹង គិត ថ្ងៃទី ២០ កក្កដា អ្នកស្លាប់ ដោយសារ មេរោគ អេដស៍ បាន កើនឡើង ៤៩ នាក់ ផ្ទុក មេរោគ អេដស៍ ៣២៥ នាក់,negative
ទទួលបាន មេដាយ ឯកឧត្តម បាន មានប្រសាសន៍ ជា មេដាយ បាន ផ្តល់ កិត្តិយស ក្រៃលែង កម្ពុជា,positive
ខ្ញុំ បាន អាន ចប់ ហេតុ ចិត្ត ខ្ញុំ មិន ចប់ ហេតុអី សាច់រឿង ធ្វើអោយ ខ្ញុំ មានអារម្មណ៍ ឈឺ ឈឺ ត្រង់ ហេតុអីក៏ ចប់ ទាំ បែប,negative
បាន ការងារ ស្រលាញ់ ហត់ សប្បាយ ចិត្ត ការងារ មិន ស្រលាញ់ ហត់ អត់ សប្បាយ ចិត្ត,negative
ប៉ុន្តែ វិធាន បែរជា រដ្ឋមន្ត្រី រូប បាន ចោទប្រកាន់ ក្រសួង មហាផ្ទៃ ជា ប្រមូល អំណាច,negative
ចាត់ទុក ជា ពិធី សែនព្រេន សុំ មនុស្ស រូប សេចក្តីសុខ យប់ ពិធី សែន ព្រះខែ,positive
របៀបវារៈ ធនាគារ វិនិយោគ ហេដ្ឋារចនាសម្ព័ន្ធ អាស៊ី aiib ផ្តោត ពាណិជ្ជកម្ម កិច្ចសហប្រតិបត្តិការ សេដ្ឋកិច្ច ហេដ្ឋារចនាសម្ព័ន្ធ ជា ជាង វិធីសាស្ត្រ ដឹកនាំ ម្ចាស់ ជំនួយ លក្ខខណ្ឌ,neutral
តាមរយៈ ការស្នើសុំ ឯកឧត្តម អគ្គ បណ្ឌិត សភាចារ្យ អូន ព័ន្ធ មុនីរ័ត្ន ឧប នាយក រដ្ឋមន្ត្រី រដ្ឋមន្ត្រី ក្រសួង សេដ្ឋកិច្ច ហិរញ្ញវត្ថុ ជា ប្រធាន ក្រុមប្រឹក្សា ជាតិ គាំពារ សង្គម បាន សម្រេច ឯកភាព ទាំងស្រុង សេចក្តីព្រាង អនុក្រឹត្យ ស្តីពី ការសម្រួល ការកំណត់ អត្រា ភាគ ទាន បែបបទ នីតិវិធី ការបង់ ភាគទាន របប សន្តិសុខ សង្គម ផ្នែក ថែទាំ សុខភាព មន្រតី សាធារណៈ មន្រតី រាជការ យុទ្ធជន,positive
